1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
Bluniverse,https://ddd33q3967xhi.cloudfront.net/--bu3Jg-52amRCgfGmGsl13BkXo=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fMMsSEOqKqpIsst6f1soFS42qgmg%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fLQayGhq1ROCRB8joqFLa_BluniverseGH.JPG,Blue Magoo x Ms. Universe #10,"This 50/50 hybrid has copious amounts of resin.   Blue fades to dark purple as this plant ripens producing an aroma of berries, cherries, and warm spices.  A small touch will overload the olfactory receptors and leave your fingers sticky.",Fox Hollow Flora,"The purpose of Fox Hollow Flora is to help humanity recover our inherited connection with cannabis by providing the world with flowers of utmost quality and products that represent our highest integrity.  Our motivation is forged by the hard truth that you will always get out exactly what you put in.  Our country is depending on us to set a standard for Pacific Northwest cannabis that will be unmatched by any other region in the world.  We accept this honor to represent the great state of Oregon in this special moment of our nation’s history. We will never take it for granted.

Core values at Fox Hollow Flora:

1.	Respect: Consideration for Humanity and the Earth.
2.	Integrity: Sincere in our decisions and Actions.
3.	Family and Community: We all have a Stack in this Together.
4.	Innovation: We will never limit ourselves to the Present."
Boggle Gum,https://ddd33q3967xhi.cloudfront.net/T3vw_F1F55Xhh0cIjT3w1YqmE94=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f84gAJm32kzgXSu4RVz8l8O9hBLc%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252faZ97RCB7QKiZ2ksCfFvc_boggle%2bgum.jpg,Boggle Gum is a relaxing hybrid cross between Northern Lights #5 and BOG Bubble.,Boggle Gum is a relaxing hybrid cross between Northern Lights #5 and BOG Bubble.,Vodis USA,"Our acclaimed master growers know that the finest quality marijuana is nurtured through respect. That’s why our natural products are tenderly crafted, hand harvested - and a tribute to those who enabled this illustrious journey.

We take pride in what we do, so that in turn, you can indulge in a smooth, full-flavored experience."
Bomba Chamba,https://ddd33q3967xhi.cloudfront.net/OBUOlgxbAOUWoFK_kfeMwf0usQQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fufjn3b8QyRry_tdcW33ebn1YwEY%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fVGNvmuUTA2928wYXczcF_BOMBA%2bCHAMBA.jpg,"Golden hairs weave through Bomba Chamba's thick coat of sugar-like trichomes and highlight the compact, camouflage-colored buds.","Golden hairs weave through Bomba Chamba's thick coat of sugar-like trichomes and highlight the compact, camouflage-colored buds. Many have used Bomba Chamba to relieve pain, muscle tension, and sour moods. Strong sativa genetics give this strain its uplifting and stimulating effects, making it a perfect strain for social gatherings or creative pastimes.",Flow Kana,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients' doors."
Bright Fire,https://ddd33q3967xhi.cloudfront.net/-EXAjsuKNdKh5WoUwWzcATyYmRk=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fWZID3Tk-RYH8fJTAT8KD7H5fOg0%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f58nltt3oSE7FJnqE4RMn_Bright%2bFire-01.jpg,Indica,,Palomar Craft Cannabis,"Palomar is focused on the well being of the people we serve and the plants we grow.

Founded in 2010 – Palomar is committed to producing the highest quality cannabis using responsible growing methods and innovative technology. For the safety and well being of our consumers, we omit any use of harmful pesticides or synthetic fertilizers. We ensure that every plant is individually cared for by hand, starting with our own special blend of organic soil. Every batch is lab tested and the results are tracked by batch codes.

Our cannabis is grown thoughtfully with our fans best interests at heart and it is our promise to deliver one of the finest experiences within the cannabis world."
Bruce Banner,https://ddd33q3967xhi.cloudfront.net/XqJXnpAoOlUp-XMAOeQW61xynbs=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2feiT_orx7y5hfAe34dF-XYuJvlnk%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fgVxVz7LCTwK9NyiHdTwL_Bruce_Banner%2bmenu.jpeg,29.65% THC .07% CBD,Bruce Banner takes nicely after both parents- bred from OG Kush and Strawberry Diesel- Banner produces dense hulky light green buds heavily frosted with trichomes. Buds impart a fuel skunky aroma balanced nicely by notes of spicy sweetness.,Canna Organix,"At Canna Organix, everything we do is about pushing the status quo, about going beyond where we are now, and then taking things one step further. We do things differently, not for the sake of being different, but in the pursuit of finding a better way."
Bruce Banner,https://ddd33q3967xhi.cloudfront.net/PvFUO43y1Jx5ebcm1_ROZy9Lxxg=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f276TrgkLKupCwZTPQj34mbUa54A%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fKB5YIyPSy9k2piDuRgQa_brucebanner%2bsolo.jpg,,,Cannabis Nation Cultivation,"What began as medical grow operation in Portland, Oregon, has emerged as a leader in Oregon's cannabis industry with a collection of dispensaries serving the Pacific Northwest.  Topping Leafly's ""Best of the Month"" list multiple times, we strive to continue to provide the highest-quality product and professionalism.

At Cannabis Nation dispensaries, our storefronts have been exquisitely designed with a unique open layout, allowing customers to take their time and enjoy browsing our plentiful selection of only the highest quality cannabis flower, much of which is still cultivated in-house, as well as top-shelf concentrates, edibles, topicals and tinctures.

Or, if you would prefer, our expert Budtenders will assist you personally.  Whether you are a first-time consumer, business professional, senior citizen, or OMMP cardholder, we will strive to ensure that any questions you have are answered and that you leave with the product that fits your needs and lifestyle.

With four dispensaries located in Beaverton, Seaside, Gresham, Oregon City and a fifth location coming soon to Sun River, our family of young entrepreneurs hopes that one day our company's name reflects reality.

Visit us soon and join the Cannabis Nation!"
Bubba Chem,https://ddd33q3967xhi.cloudfront.net/9g_FjciGVHKYp9iNXQTY-OwM_04=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fmapYO_CuMmVm9XTXfqMnWJmGE88%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fhCMG9f1NQxumU51Ba9oI_bubba%2bchem_dry%2bflower_bedford%2bgrow-5.jpg,Bubba Chem is a gentle Indica strain with long lasting effects.,Bubba Chem is a gentle Indica strain that has anti-inflammatory and anxiolytic properties. Patients may experience physical relaxation and anxiety relief.,Bedford Grow,"From seed to patient, Bedford Grow upholds itself to the highest standards in plant care and quality products to provide therapeutic healing for the patients of Illinois."
Bubba Kush,https://ddd33q3967xhi.cloudfront.net/izY0JFoG6rZ1r8PpWa2HHaSqJCs=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fbZk-5T0-Z0Hxsy4E--NYPLfAUS4%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fdtXbEsj4SxuRY7AfATe4_bubba.jpg,Katsu Cut (OG Kush x [West Coast Dawg x Old World Kush]),"Bubba Kush is an indica strain that has gained notoriety in the U.S. and beyond for its heavy tranquilizing effects. Sweet hashish flavors with subtle notes of chocolate and coffee come through on the exhale, delighting the palate as powerful relaxation takes over. From head to toe, muscles ease with heaviness as dreamy euphoria blankets the mind, crushing stress while coercing happy moods. Bubba Kush exhibits a distinctive, bulky bud structure with hues that range from forest green to pale purple.",Sugar Leaf,"Sugarleaf was founded with a vision that we could one day being the best in the world at growing cannabis.  This goes deeper than just yield, potency, or brand knowledge, staying true to who we are and always doing the right thing is at the core of every decision we make as a company.  In every industry, there is a level of precision that can hardly be re-created by others, we strive to maintain that level every day.  A wise man once said “only when one loves what he does can greatness be achieved,” and we love what we do.  We feel we have a unique opportunity to shape how an industry is perceived, as cannabis transforms out of almost 100 years of prohibition we take pride in being at the core group of pioneers that will continuously move the industry forward in a positive direction.  An opportunity so grand should not be taken lightly; we lead by example, we are who we want the industry to become."
Bubba Kush,https://ddd33q3967xhi.cloudfront.net/s2YbF7mliwIVtneNtMyqdklYE7w=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fDnFkGb5f-nT30LcfXH0PWUoZI2s%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252faGJlk7oaRmK9I6Bzm3Nj_bubs.jpg,,"CascadeHigh's sweet, earthy Bubba Kush offers a potent Indica experience that's one of the fruitiest Hybrids ever created. Derived from Bubble Gyum and OG Kush, Bubba Kush's medium buds provide an earthy perfume with pungent second sniffs, and a sweet taste to match. This strain melts away muscle aches and soothe worried nerves, making Bubba Kush perfect for relieving chronic pain and easing stress, anxiety or insomnia at night.",Cascade High,Our mission is to consciously and responsibly cultivate quality cannabis for a consistently enjoyable user experience.
Bubba Kush,https://ddd33q3967xhi.cloudfront.net/XbVwni5unhomX5lmPfrsjHnExGE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fghHreUYAicJhhnCQxDYPxztckq8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fcdn.filepicker.io%252fapi%252ffile%252fYFod6C74SMGWsmKBpvG4,Bubba Kush is a perfect strain for relaxation due to its tranquilizing effects with a very happy and euphoric high.,"Bubba Kush emerged with what are rumored to be California roots, just after '96, when an OG Kush hybrid pollinated an unknown Indica strain. Supposedly this mother was a Northern Lights obtained in New Orleans, however, today Bubba Kush remains genetically ambiguous. Bubba Kush has an earthy, sweet, pungent aroma. With sweet hash flavors and the subtle notes of coffee and chocolate. Bubba Kush is a perfect strain for relaxation due to its tranquilizing effects with a very happy and euphoric high.",Cannasol Farms,"Nature intended for plants to be grown in the sun, and at Cannasol Farms, it is our dedication to growing the finest cannabis for over 20 years that led us to recognize that sun grown plants produce a better product. With dozens of unique strains, we have spent years perfecting the art and science of sustainable cannabis.

Because we believe cannabis only reaches its full potential in a natural environment, we grow our plants under the powerful Okanogan sunshine. Our complex sativa dominant strains take longer to mature, and their colas (the flower of the plant) need natural full spectrum sunlight to develop mature trichomes, which leads to more potent and rich cannabinoid profiles. You can see, smell, and taste the difference.

Because quality takes time, we don’t rush the plant. Many growers get eager to package their product, leaving it too green and raw. In order to achieve a more complex and refined terpene profile, you need time to slow cure as you would a fine tobacco or coffee. Cannasol Farms proudly slow cures our flowers for taste and experience rarely achieved in cannabis today. We select the best colas of the harvest to be hanged dry and slow cured in cool, low oxygen conditions. This allows the chlorophyl to degrade which smooths the smoke and allows the terpenes to be fully expressed, enhancing the cannabinoid profile. Cannasol Farms proudly long cures our flowers for taste and experience rarely achieved in cannabis today.

Cannasol cannabis is pure and natural, free from harsh pesticides and artificial chemicals. Only baking soda, potassium bicarbonate, and vinegar is used to prevent mildew and mold and regulate PH."
Bubble Tang,https://ddd33q3967xhi.cloudfront.net/Qmwkae1vxLprT9TQngHyz-G2z_A=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f06csfsi5Mrs3OAO1NM-rPcnWA5c%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fbpvIfqCISfi6U2FRmyxp_bubble%2btang_dry%2bflower_bedford%2bgrow-3.jpg,Bubble Tang is a very delicious Hybrid flower.,"Bubble Tang is well-rounded Indica that is perfect for being active. This flower's effects are immediate, smooth and uplifting. Patients may experience euphoria, mental uplift without inducing anxiety, and physical relaxation.",Bedford Grow,"From seed to patient, Bedford Grow upholds itself to the highest standards in plant care and quality products to provide therapeutic healing for the patients of Illinois."
