1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
GG4 (f.k.a. Gorilla Glue #4),https://ddd33q3967xhi.cloudfront.net/v06O4R_SZXuAkarlFqXb9csGGrs=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f6LgQXQX7VgjIu7XPmIKo5eL087k%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fAy2aQiuPRd2FVkH9j1hq_GG4.jpg,,,Vodis USA,"Our acclaimed master growers know that the finest quality marijuana is nurtured through respect. That’s why our natural products are tenderly crafted, hand harvested - and a tribute to those who enabled this illustrious journey.

We take pride in what we do, so that in turn, you can indulge in a smooth, full-flavored experience."
Grape Durkle,https://ddd33q3967xhi.cloudfront.net/Dne4Mh98vkvdTVX0HnhZLrcpir8=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fZelLnfCw7qB3LY-B_192ywLuu44%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fcdn.filepicker.io%252fapi%252ffile%252fOU6avlFcR5CmPe2gHcQM,Grape Durkle has a fruity flowery aroma of berries and fresh grapes.,Grape Durkle originates from a Grape Ape Clone crossed with Durkle (Purple Diesel x Purple Erkle). Grape Durkle has a fruity flowery aroma of berries and fresh grapes.,Cannasol Farms,"Nature intended for plants to be grown in the sun, and at Cannasol Farms, it is our dedication to growing the finest cannabis for over 20 years that led us to recognize that sun grown plants produce a better product. With dozens of unique strains, we have spent years perfecting the art and science of sustainable cannabis.

Because we believe cannabis only reaches its full potential in a natural environment, we grow our plants under the powerful Okanogan sunshine. Our complex sativa dominant strains take longer to mature, and their colas (the flower of the plant) need natural full spectrum sunlight to develop mature trichomes, which leads to more potent and rich cannabinoid profiles. You can see, smell, and taste the difference.

Because quality takes time, we don’t rush the plant. Many growers get eager to package their product, leaving it too green and raw. In order to achieve a more complex and refined terpene profile, you need time to slow cure as you would a fine tobacco or coffee. Cannasol Farms proudly slow cures our flowers for taste and experience rarely achieved in cannabis today. We select the best colas of the harvest to be hanged dry and slow cured in cool, low oxygen conditions. This allows the chlorophyl to degrade which smooths the smoke and allows the terpenes to be fully expressed, enhancing the cannabinoid profile. Cannasol Farms proudly long cures our flowers for taste and experience rarely achieved in cannabis today.

Cannasol cannabis is pure and natural, free from harsh pesticides and artificial chemicals. Only baking soda, potassium bicarbonate, and vinegar is used to prevent mildew and mold and regulate PH."
Grape OG,https://ddd33q3967xhi.cloudfront.net/0d8W8O2oIlF1tu9uzIYVryhU93Y=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fq22fhNdZO83nlAhLeA485FyhWQs%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fXejorwtYS1rvZYBCpRvY_grapeog1.png,"Solid, dense buds coated heavily with trichomes and unrelenting grape aroma.","Grape OG is a rare strain with some serious grape flavor.  Even an experienced wine connoisseur might mistake a nug for a Cabernet Sauvignon in a blind smell test - yeah, its that good.  With genetics passed down from Grape Romulan and Tahoe OG Kush, it’s no wonder Grape OG was able to force its way into the Double Dutch lineup.",Double Dutch Farms,"We are two Dutch Brothers committed to setting an ethical, responsible example through research and advocacy in an effort to challenge the antiquated status quo of cannabis and its effects.
 
We are dedicated to building mutually-sustainable relationships between producers, stores, and communities in order to further the love, generosity, and acceptance that is the culture of cannabis.
 
Together, let’s move cannabis forward."
I-95,https://ddd33q3967xhi.cloudfront.net/dD0-NeLNJpypHgeYzbO-TJH85j4=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fel8lmnNlRm4v-TONxy0Xx8V_oww%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fTV5fi2ZvQj6Lv2j09FXc_i95.jpg,23.4% THC .51% CBD,"Introducing the new I-95! Bred from noteworthy strains- Triangle Kush x (Legend OG x Stardawg IX2), the I-95 is quite a tasty hybrid- thank you breeder Top Dawg for breeding another gem! She forms dense light green buds that are covered in an abundance of glistening sticky trichomes-  say ""sparkle-mama""! I-95's terpene profile drives her stink right to the face with pungent diesel fuel, making for a strong sour component to her tasty flavor.",Canna Organix,"At Canna Organix, everything we do is about pushing the status quo, about going beyond where we are now, and then taking things one step further. We do things differently, not for the sake of being different, but in the pursuit of finding a better way."
IFC OG,https://ddd33q3967xhi.cloudfront.net/DNYnlkAlGgiT2LmjgLXlmQBX2uc=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fSfjXNqf7AKptjgnTAX-hFt_WYlc%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fU1XvIShcSvmsVoW5sWEn_intergalactikz.jpg,,"“These nugs were light and massive, fairly dense with a heavy pungent smell and covered in crystals. Overall the definition of DANK, the high is something else, very uplifting and social buzz kicks in within a few minutes followed by euphoria and body buzz, powerful and very talkative high. A MUST TRY!! dont pass it up, its a beautiful strain!”",Intergalatikz,Cannabis Connoisseur's
Island Sweet Skunk,https://ddd33q3967xhi.cloudfront.net/j0JHSFNlp6kcHOaYkdlCS5uuoDY=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fhAm1TsEMNXPAOMiUVBz8R_zCxHM%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fVcfuJFmPQISKY8ebAOP1_Tilray-SquareT300Bag.jpg,A sativa descendant of Skunk #1.,"Island Sweet Skunk, sometimes called Sweet Island Skunk, is a sativa descendant of Skunk #1.
Top terpenes include Trans-nerolidol, Pinene, Humulene.",Tilray,"Tilray is a global leader in medical cannabis research and production dedicated to providing safe, consistent and reliable therapy to patients. We are the only GMP certified medical cannabis producer currently supplying products to thousands of patients, physicians, pharmacies, hospitals, governments and researchers in Australia, Canada, the European Union and the Americas."
Kosher Kush,https://ddd33q3967xhi.cloudfront.net/i-WTki9FHitoBVXAqNYjsKgtfV8=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fDcao2A51cqlitmduiPtDBNQSTao%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fw97fS3tNS9uoSy1jwzHK_IMG_4762.JPG,,,GTI,"Green Thumb Industries, LLC (GTI) is an Illinois-based partnership of accomplished professionals, business people, world-class entrepreneurs and philanthropists driven by the dual commitment to the patients and communities it serves. Each founding member of GTI calls Illinois home and is dedicated to serving Illinois communities where its efforts will have the greatest positive impact."
Lemon Haze,https://ddd33q3967xhi.cloudfront.net/kMPyguIksSb7lHidNZS683u0gXQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fPb46CJ6ilUCSnnI5d1RUDkZwH64%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252flt37OXPLQm4B7UuDf0zA_lemonhaze.jpg,,,Vodis USA,"Our acclaimed master growers know that the finest quality marijuana is nurtured through respect. That’s why our natural products are tenderly crafted, hand harvested - and a tribute to those who enabled this illustrious journey.

We take pride in what we do, so that in turn, you can indulge in a smooth, full-flavored experience."
Lemonhead OG,https://ddd33q3967xhi.cloudfront.net/yUWqYgymSuXJ1rE-w4dWJWC4w2k=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2ftXw4iJtzDjuq_xyouRlt1T3Bbxw%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fXmTRvWnQSOeFhZYjwFx0_lemonhead.jpg,60/40 Indica Hybrid,"Looking for a powerful punch? Lemonhead OG is the go to for that! This high powered THC content strain averages around 24-27%.
Lemonhead OG has a classic OG smell with hints of citrus and fuel.",Royal Choice Farms,"Royal Choice Farms combines years experience from traditional growers, passion with forward thinking, natural innovations and the beautiful Verde Valley to produce the finest quality cannabis. Our flowers are always cured for a minimum of 30 days. Every ingredient we use is 100% natural to insure quality organic cannabis. Please see our testing results provided by C4 Laboratories."
Mango Kush,https://ddd33q3967xhi.cloudfront.net/8V0cDBPWboqTn7zh33IKWzE8FH8=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fx8KbQQwQ_gWG39NOjPPq4GTstXQ%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fqCEieTQERwOViQMmCKgr_123780_MangoKush-flower.jpg,"The Mango Kush strain tastes similar to the actual mango fruit, with a distinct kush flavor and hints of pine on the exhale","The Mango Kush strain tastes similar to the actual mango fruit, with a distinct kush flavor and hints of pine on the exhale. Its buds are covered with orange pistils and are described as very dense. The buds have thick shiny trichomes which are evident when the bud is broken apart. The smell and taste are the same and described as mango and banana.",Medizin,"As a premier Las Vegas dispensary and cultivation, Medizin exists to provide compassionate, dignified, and affordable access to medical cannabis for approved patients in Nevada in safe, clean, state-of-the-art facilities. Our dedicated staff has been trained to be highly knowledgeable about each of our products, and also which product would be best suitable to each patient’s unique needs."
