1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
Chemwreck,https://ddd33q3967xhi.cloudfront.net/NyEXxq1GkEiuERFgQ1gvA2-7yNc=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fW_YoyMs6GRkSj-jP_BI2jsInDzo%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fnjt4uucwTAi9DPppxenv_chemwreck.jpg,"Chemwreck is a Chemdawg and Trainwreck cross that smells of diesel, citrus, and woody scents.","Sativa Dominant Hybrid. It awakens and energizes while stimulating creative tendencies. The wreck is a clue to its potency. Aroma:: pungent diesel, lemon and pine. Effects:: potent and muscle numbing with a creative cerebral effect.",Pioneer Nuggets,"Founded in December 2013, Pioneer Production and Processing LLC is a first of its kind Washington State licensed manufacturer of cannabis products.  Located in Arlington, where the pioneer trail ends... but the pioneer spirit has never left."
Chemzilla,https://ddd33q3967xhi.cloudfront.net/5Ebbbq1Oq0qAKNFY3-HhV0H7yRk=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fOhvNfj9W4QCXJjCLY3CAjGaRC5s%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f5O4HWB5hQ9mUjBSSllKv_chemzilla_dry%2bflower_bedford%2bgrow-5,Chemzilla is a Sativa dominant Hybrid strain with mentally positive and social effects.,"Chemzilla is an uplifting hybrid that maintains the effects of relaxtion while simultaniously giving a smooth, euphoric start and winding down with a more sedative finish. This strain can be used for daytime or nighttime medicating. Patients may find this strain to alleviate stress, depression, pain, anxiety and insomnia. Patients may also experience an increase in appetite.",Bedford Grow,"From seed to patient, Bedford Grow upholds itself to the highest standards in plant care and quality products to provide therapeutic healing for the patients of Illinois."
Chernobyl,https://ddd33q3967xhi.cloudfront.net/yCpu0G__gaQKMyhSofX-2k6_y3Y=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fPvIvbYIDyN2zsK02WISx59MqYiA%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fZDFFRIvfT9q6TMeXEuFI_cher.jpg,,,Red Frog Cannabis,Tier 3 Producer/Processor
Cherry AK,https://ddd33q3967xhi.cloudfront.net/VSEFwkAXxtBXQ0ma4FH-xAheZrw=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fpfMcmHJCHA_vKJeRZPd1oGsMwdo%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fNhLRs8hTSYaUXOhjLnSp_cherry%2bak.jpg,Reddish purple leaves and cherry aroma denote this strain. The effects are cerebral and lend to a full body relaxation.,"Reddish purple leaves and cherry aroma denote this strain. The effects are cerebral and lend to a full body relaxation. Generally best for stress releif, this strain has effects at are uplifting and pain releif.",Royal Choice Farms,"Royal Choice Farms combines years experience from traditional growers, passion with forward thinking, natural innovations and the beautiful Verde Valley to produce the finest quality cannabis. Our flowers are always cured for a minimum of 30 days. Every ingredient we use is 100% natural to insure quality organic cannabis. Please see our testing results provided by C4 Laboratories."
Cherry Charlotte,https://ddd33q3967xhi.cloudfront.net/sX6i8WwDkB4WzvisBF5eVzDi4lQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fTvlxbD7PV3kR6AQeNuRqCIJiZMA%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fm0ashgvqQQqcRKyPTvgn_cherry%2bcharlotte_dry%2bflower_bedford%2bgrow-5.jpg,1:1 CBD:THC strain,Cherry Charlotte is a CBD strain that offers anti-inflammatory and neuroprotective properties that may also reduce frequency and severity of seizures. This flower is relaxing with a functional component.,Bedford Grow,"From seed to patient, Bedford Grow upholds itself to the highest standards in plant care and quality products to provide therapeutic healing for the patients of Illinois."
Cherry Diesel,https://ddd33q3967xhi.cloudfront.net/dlfpTTdldmzljobohLn0YP8ji_s=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fPScohAj-Pz125tO-eWDFBrCTpBI%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fmefQjocSNeXHlWFgYEpA_Cherry_D_logo.jpg,Cherry Disesl is a cross between Turbo Diesel and Cherry OG,,SoulTonix,SoulTonix supplies the state of Montana with top-quality medical cannabis and extracts.
Cherry Kush,https://ddd33q3967xhi.cloudfront.net/-44eNBo13qJDoM26PbruxhRsnHU=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fOAcQU-NTOMrSeCebTNkpthuTdQc%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fTVDTyHV1QdCOYwrzG8cv_AA-%2bcherry%2bkush.jpg,Purple Afghani X OG Kush,"Cherry flavored kush, how could you go wrong? For kush fans, here is a fruity treat providing all the benefits of your favorite kush including appetite enhancement, pain distraction, mood elevation, and sound sleep. Also known as cherry pie, this is a favorite for many.
THC: 19.94%
CBD: 0.03%",True Humboldt,"Humboldt is more than a place where great medicine is grown. It’s an icon, a legend, an idea, a philosophy, and, to True Humboldt, it’s even a mission. We believe cannabis can play a healing role in a patient’s life. Physically. Emotionally. Environmentally. Even spiritually. That’s why we’ve dedicated ourselves to offering the best cannabis and services available anywhere.

While we obsess about maintaining the world-renowned tradition of Humboldt’s superior quality, we also focused on breaking new ground in getting our excess medicine to patients that need it. By helping farmers and dispensaries smooth the reimbursement process, we’ve successfully developed a complete distribution network throughout the state.

We’re a growing network of farmers.
We’re run by a conscience, not a corporation. The founding members have lived in Humboldt for an average of 25 years. We raise our families in Humboldt, and we run our businesses throughout Humboldt County and in Arcata. We’re always interested in talking to like-minded farmers, so get in touch with us if you’d like to preserve the tradition of Humboldt quality and craft.

We work closely together.
By working together, we’re lowering the costs of production, establishing standards for superior consistency and quality control, competing in a competitive branded market, and preserving the heritage of Humboldt’s most notorious commodity.

We’re community-minded.
We’re not just a collective of farmers who share our accumulated knowledge and experience with each other. We also employ members of our community whenever possible and pay them living wages. We also work with local environmental engineers, lumber and construction companies, soil labs, nurseries, accountants, and more. Because we believe we’re all in it together.

We’re evolving.
Although we’ve been around for a while, we know reform is on its way and that we need to adapt. This requires vision and the ability to thrive in a new environment. We’re already leading by example, too. We are seeking to fully permit our farms and are actively pursuing compliance with county regulatory agencies.

We’re craftsmen.
Some craftsmen work with hammers and saws. We work with the earth, flowers, and sun. Each True Humboldt farmer is dedicated to carrying on the tradition of quality."
Cherry Kush,https://ddd33q3967xhi.cloudfront.net/lA8OyYkj_mLaFlBm_nqNkTvjJxc=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f0_brbJcrCSCY2cHCgjnBLY1LGCg%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fKn79SUuFRvivXUxipdMh_BDEE3E86-FF29-48B1-9BDC-69DDE59B08E6.jpeg,Purple afghani x OG Kush,Cherry Kush flower provides a relaxing buzz with flavors of sweet hashy kush.,Nelson and Company Organics,"We are passionately committed to growing the highest quality cannabis. With over 20 years of growing experience, we use only organic ingredients to cultivate our flower. We take the time to properly dry and cure our cannabis to ensure flavorful, smooth smoke with a proper burn."
Cherry Pie,https://ddd33q3967xhi.cloudfront.net/YM4ZW7ej7FUdfcpM4BRywXJp8lA=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fckHxibHJRvgEYOuObvkk9DMGKLc%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f25FuYrkTE2pkmoXHbUc9_PF_review_icon_cherry_pie.jpg,"Potency  7 / 10 . . . . Lineage / Grandaddy Purple, Durban Poison","Potency  7 / 10 . . . . Lineage / Grandaddy Purple, Durban Poison . . . . Flavor / Heavily Earthy and Sweet, with hints of Berry . . . . Positives / Very calming and relaxing yet somewhat uplifting, Great easy smoke for day or night . . . . Heads Up / None

—
THC / 16.4%   CBD / 0.0%   TERP / 3.4%",Pilot Farm,"OPEN SOURCE FARMING / We keep it simple and honest. Employing the techniques of master farmers of previous generations to produce, provide, and support a product and movement we can all feel good about. Applying the best in farming practices from nutrient density, biodynamics, permaculture, organics and sustainability to all aspects of the plant’s lifecycle (immature, vegetative, flowering, curing, trimming, processing and packaging), Pilot Farm is committed to producing the highest quality, Clean Green Certified®, sun grown, earth made, hand-harvested cannabis. Welcome to the farm—"
Cherry Pie,https://ddd33q3967xhi.cloudfront.net/-QOCSI2VXzUZvOahbVRNWOogiQQ=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fuJ5kvmx7fs9p_XFV9OpnyoCgYjg%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fnIEOtCYUQpO5Y8ZB7D8i_cleaned%2bcherry%2bleafly.JPG,"Functioning as medical-grade all-day flower, soothing physical discomfort without being overly sedative.","This sweet Cherry Pie expresses a terpene profile that's both earthy and pungent while still being extremely sweet and berry-forward. With buds that are dense and full of orange hairs with a touch of purple, this strain smells of sweet and sour cherry pie. The longer it's allowed to mature the deeper the purple expression. A strain that is both true to it's name and powerful this variety will surely be a favorite among both hardened and light smokers.",Shepherd’s Meadow Farm,"We are a small artisanal family farm in the heart of the Emerald Triangle. Utilizing organic farming methods, exclusive strains and zero pesticides we strive to sustainably produce some of the finest cannabis available. We always favor quality over quantity and with laboratory testing results validating these efforts, we feel we are succeeding in bringing connoisseur grade cannabis to market."
