1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
Blue Dream,https://ddd33q3967xhi.cloudfront.net/g7GSH5VfkejhWBiXTRs3GfIGHa0=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f7IS1JTAKifqe1e40genL0B3o-Nk%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fSyVAWyuTTsutvZBEAtif_blue%2bdream.jpg,Not Your Average Blue Dream!,"Pearl Pharma's Blue Dream is a Sativa-dominant Hybrid with blueberry flavors and creative, energetic experiences. Ideal for helping you feel social and energetic.",Pearl Pharma,"Pearl Pharma is a cultivation company that has been growing since 1998. Our most famous strain would be our Kosher Jack, followed closely by our Sin Mint Cookies from seeds by SinCity Seeds. 

Located in multiple dispensaries and delivery services across Southern California, Pearl Pharma has flower, concentrates, and pre-rolls for any mood of your week."
Blue Galaxy,https://ddd33q3967xhi.cloudfront.net/MID2FmC1KFaddtTFJls10Lup0S0=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fLL3B29tYG0Ns7yJk1J-zNN1T0_Y%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fhdsy4bdSKWUPleQ6MHvr_blue%2bgalaxy.jpg,This potent indica strain will influence great relaxation and euphoria.,"Afghani x Hashplant (I) - Coming from two of the earliest varieties of cannabis, this Middle Eastern cross has heavy resin production, which both of its predecessors are notorious for having. With a very complex nose, Blue Galaxy has the best of both worlds combining an earthy hash smell with a fruity-sweetness. This potent strain will influence great relaxation and euphoria. A real couch lock kind of high.",Royal Tree Gardens,"It all started in the Summer of 2013 with an idea and a dream. 

With the passing of Initiative 502 in the fall of 2013 came the realization that opportunity was at hand. Having had experience growing for the medical side of the industry and a true passion for the plant, Max, Ryan and Spencer came together and founded what is now Royal Tree Gardens.

In March 2014, without the certainty of being licensed by the state, we apprehensively signed a lease on a warehouse in Tacoma, WA, where together, over the next 7 months, we designed and built-out the warehouse from the ground up. Through countless hours of hard work and dedication, we were able to complete the majority of the build-out ourselves while concurrently developing a brand-centric business plan with a focus and commitment to quality. Starting with a blank canvas allowed us to combine our knowledge of the cannabis growing environment and design a truly top tier facility for our plants.

In December 2014, after countless obstacles and setbacks, and applicable permits in hand, we finally received our license from the Washington State Liquor Control Board and were given the go ahead to begin producing cannabis.

More recently, after months of unconditional labor, we have welcomed on Judd as a part of the ownership. Charlie, a Master Grower and brother of Co-Founder Max, has also been added as a part of the ownership team and brings invaluable experience and work ethic.

Presently, the team here at Royal Tree Gardens is working extremely hard to produce the highest quality cannabis for the recreational market here in Washington. We feel privileged to be working with so many close friends and are excited share with you our passion for the plant!"
Blue Hawaiian,https://ddd33q3967xhi.cloudfront.net/mag9hskC3oQZ5p0vmD2spq3kSXU=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fEGrfIcTQumg1BfzBIVcgDiXDeGk%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fJKs4ES0XRM2XXrraHyAq_blue-hawaiian-flower-1600x1600.jpg,The in house Apollo Grown Blue Hawaiian is one of our speciality strains. Expect a full body mouthful of sweet citrus and tropical berry aromas.,"The in house Apollo Grown Blue Hawaiian is one of our speciality strains. Expect a full body mouthful of sweet citrus and tropical berry aromas. The Blue Hawaiian also packs a punch with our latest batch coming in at just over 20% THC. With a beautiful terpene profile, great look and feeling, the Blue Hawaiian is hard to beat.",Apollo Grown,"In Greek mythology, Apollo was the son of Zeus and traditionally one of the most complex and important Gods. He was the God of music, truth, prophecy, healing, light, poetry, and creativity. Most importantly, it’s said that Apollo would ride Pegasus, the winged-horse, to the top of Mount Olympus every morning in order to bring the sun to the people.
The goal of Apollo Grown Inc. is to incorporate this energy into our practice of cultivating the highest quality recreational marijuana products that Oregon has to offer. Like the God Apollo, we strive to be leaders in our community and dedicate ourselves to help make the world a better place through our actions. This motto filters into each and every facet of our company."
Bruce Banner,https://ddd33q3967xhi.cloudfront.net/VG7z4d-QVJVCtdW-jlrQcleHjTE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fg1MLSpZ3bE4CuIGmkxoYIcA201A%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fmiQMcXdFQxy7WMpHdkze_bruce.jpg,"When Hulk wants to smash, stay calm with Bruce Banner! This OG Kush x Strawberry Diesel hybrid will morph you back into sanity after a stressful day.","When Hulk wants to smash, stay calm with Bruce Banner! This OG Kush x Strawberry Diesel hybrid will morph you back into sanity after a stressful day. Just stay away from large doses of gamma rays...",Dream City,"Greetings from all of us at Dream City!

We are a Tier 3 Producer/Processor located in historic Port Townsend on the Olympic Peninsula. Our company has an established reputation for delivering premium cannabis to our consumers and the highest level of service in the industry. Our commitment to honesty, integrity and customer satisfaction has allowed us to add “consistent quality” to our reputation as well. We use only honest test results and are competitively priced.

Our product is grown in soil. We believe the flavor benefits outweigh the production benefits of soilless grown product. We use 100% climate controlled, state-of-the-art greenhouses that allow us to maximize our ability to produce premium cannabis. Our use of pesticides is focused on Integrated Pest Management (IPM), and minimal amounts of WSLCB-allowed pesticides.

Our signature purple packaging and unique labels allow for our product to visually stand out amongst other brands while our beautiful Galatea dances on the back of the package, a testament to our Port Townsend heritage. We are always emerging with new products and product strains. Our inventory/price list is regularly updated and available to our retailers through a live link. We encourage any of our retail partners to bring their team up to the site for tours of the facility with the goal of educating and inspiring fellow members of the cannabis community."
Buddies Death Bubba,https://ddd33q3967xhi.cloudfront.net/3EYDeCXRhd0pN2QxXspCvt4FsMU=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2flz6rhZV8YBapgI21ioDjizpBzX8%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fEIMDg6oiQ8esawAgcL3n_death.jpg,INDICA,"Premium
Indica
Death Bubba by BuddiesCanada.ca",Buddies Canada,"Your one stop shop for some of the best products available today at some of the best prices around!

For all purchases please visit our website at BuddiesCanada.ca

Follow us on social media to participate in product giveaways and free contests!
Facebook: Buddies Canada
Instagram: @buddies_canada"
CandyLand,https://ddd33q3967xhi.cloudfront.net/IKwXNqnKISni4y4f3F4iN02vH9I=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fiN3OraABTMhayCCYI1nkp3uxxwg%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fnbF9hikuTUqkaTGMWNl2_Candyland%2bGH2.JPG,Granddady Purple x Platinum GSC (f.k.a. Girl Scout Cookies),"The smooth, tight, dense buds are a pale shade of soft green highlighted with a trace of darker green and coated with tiny, pure crystals that fill up every hidden nook and cranny. Upon closer examination, there is a subtle sexy array of long, dark golden hairs that beautifully highlight each nugget. CandyLand’s medical properties include: pain management, muscle relaxation, mood enhancement, and is a fantastic social stimulus. This is the strain that will make washing the dishes fun.",Fox Hollow Flora,"The purpose of Fox Hollow Flora is to help humanity recover our inherited connection with cannabis by providing the world with flowers of utmost quality and products that represent our highest integrity.  Our motivation is forged by the hard truth that you will always get out exactly what you put in.  Our country is depending on us to set a standard for Pacific Northwest cannabis that will be unmatched by any other region in the world.  We accept this honor to represent the great state of Oregon in this special moment of our nation’s history. We will never take it for granted.

Core values at Fox Hollow Flora:

1.	Respect: Consideration for Humanity and the Earth.
2.	Integrity: Sincere in our decisions and Actions.
3.	Family and Community: We all have a Stack in this Together.
4.	Innovation: We will never limit ourselves to the Present."
Cannalope Kush,https://ddd33q3967xhi.cloudfront.net/RskayDuHpFOnuuPzIKUglbjBOLk=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fA32DWCJ3fk_SGqwq1rBmOju9Q8Q%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fdzX3KxnRaSoEPToxTPfz_cantalaupe.jpg,Sativa dominant - but with a banaced indica effect to feel uplifted and happy.,"OG#18 mixed with Cannalope creates this master peice of a strain. leaves you enjoying the energy and clear-headedness of a sativa, and the full body euphoria of an indica.",Vodis USA,"Our acclaimed master growers know that the finest quality marijuana is nurtured through respect. That’s why our natural products are tenderly crafted, hand harvested - and a tribute to those who enabled this illustrious journey.

We take pride in what we do, so that in turn, you can indulge in a smooth, full-flavored experience."
Cannatonic,https://ddd33q3967xhi.cloudfront.net/JoIOxTJtba7wOpJOJCjGxqLMRkI=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fAGAkKJlc3SP5U55TQNsy3wZyKws%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fHeKuq7JTAetNjY7aHmhi_Tilray-SquareTC200Bag.jpg,A hybrid cross with that is known to produce a nearly 1:1 ratio of THC & CBD.,"A hybrid cross with that is known to produce a nearly 1:1 ratio of THC & CBD. 
Top terpenes include Caryophyllene, Humulene, and Myrcene.",Tilray,"Tilray is a global leader in medical cannabis research and production dedicated to providing safe, consistent and reliable therapy to patients. We are the only GMP certified medical cannabis producer currently supplying products to thousands of patients, physicians, pharmacies, hospitals, governments and researchers in Australia, Canada, the European Union and the Americas."
CBD Critical Mass,https://ddd33q3967xhi.cloudfront.net/xj3ADIb2JVupGkb2_xrzqD8Cx0w=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fjKqTBIj_tX6j9iMdNxj5iaZonZ0%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fqu4LYzXORiKEyWd1R2bA_Critical%2bmass.jpg,Strong aromas of dried mango leading into sweet earth and pine on the finish. Perfectly balanced blend of CBD and THC relieve the body and focus the mind.,Strong aromas of dried mango leading into sweet earth and pine on the finish. Perfectly balanced blend of CBD and THC relieve the body and focus the mind.,Dream City,"Greetings from all of us at Dream City!

We are a Tier 3 Producer/Processor located in historic Port Townsend on the Olympic Peninsula. Our company has an established reputation for delivering premium cannabis to our consumers and the highest level of service in the industry. Our commitment to honesty, integrity and customer satisfaction has allowed us to add “consistent quality” to our reputation as well. We use only honest test results and are competitively priced.

Our product is grown in soil. We believe the flavor benefits outweigh the production benefits of soilless grown product. We use 100% climate controlled, state-of-the-art greenhouses that allow us to maximize our ability to produce premium cannabis. Our use of pesticides is focused on Integrated Pest Management (IPM), and minimal amounts of WSLCB-allowed pesticides.

Our signature purple packaging and unique labels allow for our product to visually stand out amongst other brands while our beautiful Galatea dances on the back of the package, a testament to our Port Townsend heritage. We are always emerging with new products and product strains. Our inventory/price list is regularly updated and available to our retailers through a live link. We encourage any of our retail partners to bring their team up to the site for tours of the facility with the goal of educating and inspiring fellow members of the cannabis community."
Chemdawg,https://ddd33q3967xhi.cloudfront.net/zCbP6KTsJp30QqPC1-CwW1zPAdo=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fD6VxSmsdbMOs03N-uGQgV-rpiZk%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252feuOKugZcQ3yw5oQLZAOx_403.jpg,Bulk Indoor Chemdawg Flower @ 20%+ THC,"5 lbs of Indoor Chemdawg Flower @ Wholesale Prices

Our ""Heavenly Flowers"" are always properly trimmed, dried and cured to perfection. All of our flower and products are Lab tested for THC, CBD, pesticides, mold and mildew, and packaged to leave our farm in a way that will preserve freshness and extend the shelf life for our retailers.

$1,500 per lb (1 - 4 lbs)
$1,300 per lb (5 - 9 lbs)",Leilani Farms,"Leilani Farms is a licensed medical cannabis producer and wholesaler.

We supply local medical marijuana dispensaries with high-quality top shelf product at wholesale prices.

You can be sure that our ""Heavenly Flowers"" are the best in class, beyond the test results!
​
Our Mission: At Leilani Farms, we seek to supply our patients and accounts with the highest quality medical marijuana products at competitive wholesale pricing. The cornerstone of our organization has always been our passion for Cannabis due to the proven medical benefits that it offers. We understand that you have many options when it comes to suppliers, but our commitment to customer service and quality separates us from the rest."
