1 Product Name,2 Product Image,3 Short Description,4 Product Description,5 Brand Name,6 Brand Description
True Skunk,https://ddd33q3967xhi.cloudfront.net/oaTyqqkjxwUgOsX-Xq_XrmxekqY=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f9N-2BT3GkrajKb-NRvTs2r87H7U%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fN1M9GxnUQViQlCM2S1Nh_angeladawnphoto-2893.jpg,True Skunk - Triangle Kush x SFV-OG x Chem Dawg] x Southern Humboldt Skunk Five,"Is a cross of The Truth [Triangle Kush x SFV-OG x Chem Dawg] x Southern Humboldt Skunk Five. This is not to be confused with Shiva Skunk or Skunk #5 from Holland. Skunk Five is a closely held, elite, true breeding coastal Southern Humboldt indica. True Skunk offers up a very clean, clear minded high. The strains most unique attribute is its complex nose, seen in many recent GSC crosses; a powerful lavender and mint top end that gives way to deep fuel underneath as you would expect from its lineage. If you pop a jar of True Skunk in a small room you won’t notice the powerful lingering fuel aroma until you return to the room with a fresh palate.",Pintail Gardens,Portland based flower production. Small Batch. Hand Watered. Hand Trimmed. Follow us on Instagram @pintail_gardens
UK Cheese ,https://ddd33q3967xhi.cloudfront.net/IQv5UjSLxTNaAJOXHDKN4JUxjeM=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fjBMrd9UMyr7klRxozqNDnVY-DO0%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fjSEHEtdSS0Ohmji5cNry_U.K.%2bCheese%2b%25f0%259f%2587%25ac%25f0%259f%2587%25a7%25f0%259f%25a7%2580%2b.%2b.%2b.%2b.%2b.%25250A%25250A%2523mainlandcannabis%2b%2523bcbud%25250A%2523medicalmarijuana%2b%2523cannabiscanada%2b%2523vancouver%2b%25250A%2523indica%2b%2523sativa%2b%2523kush%2b%2523weedlife%2b%2523cannabisculture%2b%2523maryjane%2b%2523mmj%2b%2523ukcheese.jpg,,,Mainland Cannabis,Providing a safe and reliable platform for patients from across Canada to purchase their medicine
Velvet Kush,https://ddd33q3967xhi.cloudfront.net/AJnXscm6-tlwARLiTtkHAWtYSLk=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fce1NKGT1--4WoTwbhtl0cLDqQ9g%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fZtBVFyFtQxqPmlqxLjHa_velvet.jpg,"extremely strong, hits hard, super stoney","Breeder: Clone Only
Indica Hybrid
Genetics: DJ Shorts Blue Velvet X OG Kush
Flavor: earthy, grapes, sweet,
High: extremely strong, hits hard, super stoney",Clandestine Gardens,"Clandestine Gardens formed with the intent to produce and process the finest cannabis in Washington State. The team optimizes extreme care in handling the product from start to finish. They practice with an old school vibe, and with knowledge of harvesting the finest of crops."
Voyager 1,https://ddd33q3967xhi.cloudfront.net/SaehE6uJPkb5R7tCxH9JZ4KDVqE=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fMK2b5qVvOX2k0DxjNlCOOUuxOvw%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fF2LxN4JQui3N7eJpgDmA_voyager.jpg,DENSE ● MANGO ● CITRUS ● FOCUS,"Structure: Dense, evenly shaped flowers. Slightly muted colors. Peach colored hairs and pockets of forest green. Buds have an almost golden sheen to them. Completely encrusted with trichomes. 

Aroma: Strong lemonade aroma with hints of fresh cut mango. Digging deeper reveals notes of cream soda and subtle spiced undertones.

Taste: Aroma is expressed heavily in taste with this strain. Sweet, lemon candy on the inhale and a smooth creamy exhale. 

Effects: Focused cerebral energy with mellow body relaxation. Leaves you feeling meditative and on point. Great for daytime use.",7 Points Oregon,"7 Points Oregon is a clean green certified, indoor cultivation facility for recreational cannabis based in Portland, OR. Our intention is to elevate the potential of our plants with emphasis on sustainability. There are 3 major things we feel go into growing great cannabis: Providing the best possible environment, utilizing quality organic inputs and love.

7 Points Oregon prides itself on striving to grow some of the cleanest and most flavorful cannabis possible. This process has led us to a style of growing called Veganics. This is a organic method of cultivation using only plant based nutrients and compost teas. This provides nutrition to the plant very quickly, leaving behind little residue. In our experience, this style of growing allows us to maintain our focus on organic process while also developing a wonderful terpene profile and creating an amazingly clean smelling and tasting product. Enjoy!"
Warlock CBD,https://ddd33q3967xhi.cloudfront.net/amIVJFabSzks7yvacaasraBmq6Q=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2flras0z-6_bJl8D78GJZjshtyF5o%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fkRQFJA0DRtGwpexyRzJy_Tilray-SquareTC200Bag.jpg,"Warlock CBD is the high-CBD variant of Warlock, a +CBD hybrid strain.","Warlock CBD is the high-CBD variant of Warlock, a +CBD hybrid strain. This strain is believed to originate from Holland. Its parent strains are Warlock and Cannatonic. Top terpenes include limonene, myrcene and humulene.",Tilray,"Tilray is a global leader in medical cannabis research and production dedicated to providing safe, consistent and reliable therapy to patients. We are the only GMP certified medical cannabis producer currently supplying products to thousands of patients, physicians, pharmacies, hospitals, governments and researchers in Australia, Canada, the European Union and the Americas."
White 99,https://ddd33q3967xhi.cloudfront.net/-Yj-OlF5W7YhZdTcT1wydNsvjkw=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2f91llteZaCcSWicjclJ4iHW_Es28%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252f50g9CnTQuOqauP31BZx3_white.jpg,Cinderella 99 x The White,"White 99 is a potent hybrid cross of polar opposites. The offspring of Cinderella 99 and The White, this hybrid takes after its ancestors in both aroma and effect. Smelling of tropical citrus and pine, White 99 elevates mood and quashes depression. Its flavor is fresh and bright, tasting mostly of tart orange and lemon with a Kushy floral note on the finish.",Sugar Leaf,"Sugarleaf was founded with a vision that we could one day being the best in the world at growing cannabis.  This goes deeper than just yield, potency, or brand knowledge, staying true to who we are and always doing the right thing is at the core of every decision we make as a company.  In every industry, there is a level of precision that can hardly be re-created by others, we strive to maintain that level every day.  A wise man once said “only when one loves what he does can greatness be achieved,” and we love what we do.  We feel we have a unique opportunity to shape how an industry is perceived, as cannabis transforms out of almost 100 years of prohibition we take pride in being at the core group of pioneers that will continuously move the industry forward in a positive direction.  An opportunity so grand should not be taken lightly; we lead by example, we are who we want the industry to become."
White Tygh Dream,https://ddd33q3967xhi.cloudfront.net/stMKbyAPFQF6uoQPTSuiN9d8NoA=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fsO-xZPb_1uUSMwf0Q-eVlR-HRhM%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fxiTZuWWQLSjGiijhStVC_wtf%2bdream%2bimage.jpg,Premium Afghan Cannabis,"This strain transports all of us back in time when cannabis grew freely on the banks of a river in Afghanistan. This strain was meticulously bred-back to its original state. It has a citrus note that leaves you with a clean, refreshing finish. The THC content ranges from 31.88% – 34.00%.",White Tygh Farms,"Traversing the foothills of Mount Hood, you come to our farm that drops into the Tygh Valley. With surrounding hills, both the Deschutes and the White River converge, spilling over, adding to the beautiful scene."
WTF,https://ddd33q3967xhi.cloudfront.net/cc4QakCK-g5H7LKMXuDk9dGbycA=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fgwIIFQYf-ZUBWLETQ3Y-14F8XWU%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fGgqhKGuQwyoMeZUCViCi_wtf%2bbud%2bimage.jpg,Premium Sativa Hybrid,"Speckled with orange and green, this purple strain lends a canvas for trichomes to sparkle like the stars in the sky. We have not been able to place a smell or taste to this flower, giving its name as such. WTF is a hybrid of Harlequin, Sour Tsunami & Cannatonic.",White Tygh Farms,"Traversing the foothills of Mount Hood, you come to our farm that drops into the Tygh Valley. With surrounding hills, both the Deschutes and the White River converge, spilling over, adding to the beautiful scene."
Zkittlez,https://ddd33q3967xhi.cloudfront.net/q8TX_VQE7TMeuhd-JTQ1e_V0s-E=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fwNCOXJ5QPKOlqR9RD67wsZYvTkg%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fIL90BgGQAGOI6Iq5koaZ_zkittles.jpg,Indica,This heavy indica took first and seventh place in the Emerald Cup 2106. Its sweet taste and knock out punch will have everyone wanting to taste the rainbow.,Royal Choice Farms,"Royal Choice Farms combines years experience from traditional growers, passion with forward thinking, natural innovations and the beautiful Verde Valley to produce the finest quality cannabis. Our flowers are always cured for a minimum of 30 days. Every ingredient we use is 100% natural to insure quality organic cannabis. Please see our testing results provided by C4 Laboratories."
10 Grams Per Day (50 Plants),https://ddd33q3967xhi.cloudfront.net/lbnn-FeYlW33_cEerWub9bI5yYc=/fit-in/300x300/https%3a%2f%2fddd33q3967xhi.cloudfront.net%2fMu2M02hbbzNNi8ot4pmwF3k-G4g%3d%2ffit-in%2f400x400%2fhttps%253a%252f%252fs3.amazonaws.com%252fleafly-s3%252fproducts%252fphotos%252fRcqqBaEnQ0ia6kEtyXOq_16641849_1213385375382791_1945289214908170240_n.png,10 Grams Per day is equal to the growth of 50 Plants,"We offer you navigation through the entire cultivation process right up until you have the medicine ready for your consumption. Greenrush can go as far as finding you a facility to produce your cannabis, or matching you with a designated grower.

We offer education on different and possibly more effective methods of consumption such as juicing, topical creams and salves, edibles, capsules, tinctures, concentrates etc.",Green Rush Solutions Inc.,We offer navigation through the MMPR and ACMPR process with ease
